"","dst","lambda","cr","ol"
"330",10,1010,0.0850870253164557,57.4844360351562
"331",1,1010,0.080818149196603,57.4844360351562
"332",2,1010,0.983179690454148,57.4844360351562
"333",3,1010,0.74686819972946,57.4844360351562
"334",4,1010,0.0447565024903154,57.4844360351562
"335",5,1010,0.0817497310864109,57.4844360351562
"336",6,1010,0.973395355063249,57.4844360351562
"337",7,1010,0.0110630110630111,57.4844360351562
"338",8,1010,0.726930495924336,57.4844360351562
"339",9,1010,0.296735733302466,57.4844360351562
"340",10,1010,0.082312844291206,57.4844360351562
"341",1,1010,0.0874218043042058,57.4844360351562
"342",2,1010,0.983182001745633,57.4844360351562
"343",3,1010,0.742272929322863,57.4844360351562
"344",4,1010,0.0435140700068634,57.4844360351562
"345",5,1010,0.0860956001742505,57.4844360351562
"346",6,1010,0.972759315206445,57.4844360351562
"347",7,1010,0.00468384074941452,57.4844360351562
"348",8,1010,0.724357981475171,57.4844360351562
"349",9,1010,0.297867421834364,57.4844360351562
"350",10,1010,0.0872715690568141,57.4844360351562
"351",1,1010,0.0845070422535211,57.4844360351562
"352",2,1010,0.983625136782867,57.4844360351562
"353",3,1010,0.744532627865961,57.4844360351562
"354",4,1010,0.0483253255344335,57.4844360351562
"355",5,1010,0.0833432551494225,57.4844360351562
"356",6,1010,0.973892883542773,57.4844360351562
"357",7,1010,0.00850661625708885,57.4844360351562
"358",8,1010,0.719798762577339,57.4844360351562
"359",9,1010,0.289051763628035,57.4844360351562
"360",10,1010,0.0827380952380952,57.4844360351562
"361",1,1010,0.0828970331588133,57.4844360351562
"362",2,1010,0.983007690708792,57.4844360351562
"363",3,1010,0.746115059121871,57.4844360351562
"364",4,1010,0.0482507388823974,57.4844360351562
"365",5,1010,0.0826143998727786,57.4844360351562
"366",6,1010,0.973883150042555,57.4844360351562
"367",7,1010,0.00768861124459395,57.4844360351562
"368",8,1010,0.728352041445664,57.4844360351562
"369",9,1010,0.29649346140493,57.4844360351562
"370",10,1010,0.0848906560636183,57.4844360351562
"371",1,1010,0.0864065773350725,57.4844360351562
"372",2,1010,0.982717078443886,57.4844360351562
"373",3,1010,0.74264049955397,57.4844360351562
"374",4,1010,0.0476644423260248,57.4844360351562
"375",5,1010,0.0860410812522262,57.4844360351562
"376",6,1010,0.974683756387702,57.4844360351562
