"","src","lambda","dr","ol"
"223",3,1010,0.619912669577681,57.4844360351562
"224",4,1010,0.3839973549347,57.4844360351562
"225",5,1010,0.618652986056301,57.4844360351562
"226",6,1010,0.895351916837714,57.4844360351562
"227",7,1010,0.188119470498237,57.4844360351562
"228",8,1010,0.61595124018122,57.4844360351562
"229",9,1010,0.410801427963187,57.4844360351562
"230",10,1010,0.620728291316527,57.4844360351562
"231",1,1010,0.623402582082705,57.4844360351562
"232",2,1010,0.929174251199735,57.4844360351562
"233",3,1010,0.621056116536997,57.4844360351562
"234",4,1010,0.388687215365322,57.4844360351562
"235",5,1010,0.615636039486282,57.4844360351562
"236",6,1010,0.896086150242379,57.4844360351562
"237",7,1010,0.192787427626137,57.4844360351562
"238",8,1010,0.609222339582783,57.4844360351562
"239",9,1010,0.409477199828048,57.4844360351562
"240",10,1010,0.624523590484952,57.4844360351562
"241",1,1010,0.618073400540291,57.4844360351562
"242",2,1010,0.930472497864231,57.4844360351562
"243",3,1010,0.622918228334909,57.4844360351562
"244",4,1010,0.392808751115371,57.4844360351562
"245",5,1010,0.612520021356113,57.4844360351562
"246",6,1010,0.893358309507378,57.4844360351562
"247",7,1010,0.191857204130786,57.4844360351562
"248",8,1010,0.604636591478697,57.4844360351562
"249",9,1010,0.408947490783487,57.4844360351562
"250",10,1010,0.612862505398133,57.4844360351562
"251",1,1010,0.624467597143044,57.4844360351562
"252",2,1010,0.93104826621365,57.4844360351562
"253",3,1010,0.629705185575151,57.4844360351562
"254",4,1010,0.382362662788392,57.4844360351562
"255",5,1010,0.617706370458528,57.4844360351562
"256",6,1010,0.894884119041348,57.4844360351562
"257",7,1010,0.199986909709723,57.4844360351562
"258",8,1010,0.602252342037074,57.4844360351562
"259",9,1010,0.408289504151368,57.4844360351562
"260",10,1010,0.614162565643888,57.4844360351562
"261",1,1010,0.61972863953062,57.4844360351562
"262",2,1010,0.929707525468288,57.4844360351562
"263",3,1010,0.627241435830192,57.4844360351562
"264",4,1010,0.381803143093466,57.4844360351562
"265",5,1010,0.619327896882809,57.4844360351562
"266",6,1010,0.896145925272139,57.4844360351562
"267",7,1010,0.195189456342669,57.4844360351562
"268",8,1010,0.603329487390803,57.4844360351562
"269",9,1010,0.412127032486671,57.4844360351562
"270",10,1010,0.618083538083538,57.4844360351562
"271",1,1010,0.61867627785059,57.4844360351562
"272",2,1010,0.932795876561158,57.4844360351562
"273",3,1010,0.62377801915671,57.4844360351562
"274",4,1010,0.381831462912544,57.4844360351562
"275",5,1010,0.620889558496004,57.4844360351562
"276",6,1010,0.898553107530418,57.4844360351562
"277",7,1010,0.190400687080897,57.4844360351562
"278",8,1010,0.608863135021236,57.4844360351562
"279",9,1010,0.411909368134571,57.4844360351562
"280",10,1010,0.621028345418589,57.4844360351562
"281",1,1010,0.61682768660667,57.4844360351562
"282",2,1010,0.930305222996974,57.4844360351562
"283",3,1010,0.622464225239882,57.4844360351562
"284",4,1010,0.381647480343695,57.4844360351562
"285",5,1010,0.621905451672373,57.4844360351562
"286",6,1010,0.892013053367175,57.4844360351562
"287",7,1010,0.194817153380689,57.4844360351562
"288",8,1010,0.607955288272977,57.4844360351562
"289",9,1010,0.411684827609048,57.4844360351562
"290",10,1010,0.616524367961197,57.4844360351562
"291",1,1010,0.613453748588884,57.4844360351562
"292",2,1010,0.92828513697042,57.4844360351562
"293",3,1010,0.626620825147348,57.4844360351562
"294",4,1010,0.391284358477554,57.4844360351562
"295",5,1010,0.616818421747163,57.4844360351562
"296",6,1010,0.89207319098064,57.4844360351562
"297",7,1010,0.198930864760911,57.4844360351562
"298",8,1010,0.609007467842221,57.4844360351562
"299",9,1010,0.413300330033003,57.4844360351562
"300",10,1010,0.62375,57.4844360351562
"301",1,1010,0.612207541518288,57.4844360351562
"302",2,1010,0.930063249439979,57.4844360351562
"303",3,1010,0.620340894017774,57.4844360351562
"304",4,1010,0.392015234092849,57.4844360351562
"305",5,1010,0.622577983165539,57.4844360351562
"306",6,1010,0.893150143323119,57.4844360351562
"307",7,1010,0.194531172971374,57.4844360351562
"308",8,1010,0.605242203052422,57.4844360351562
"309",9,1010,0.412047952711454,57.4844360351562
"310",10,1010,0.618626379087566,57.4844360351562
"311",1,1010,0.616416968408464,57.4844360351562
"312",2,1010,0.927263091649829,57.4844360351562
"313",3,1010,0.628119334102522,57.4844360351562
"314",4,1010,0.392201085180101,57.4844360351562
"315",5,1010,0.61849748925137,57.4844360351562
"316",6,1010,0.89371932617058,57.4844360351562
"317",7,1010,0.195468446841396,57.4844360351562
"318",8,1010,0.604478846217459,57.4844360351562
"319",9,1010,0.410989516579579,57.4844360351562
"320",10,1010,0.618755419195625,57.4844360351562
"321",1,1010,0.62017344280674,57.4844360351562
"322",2,1010,0.928113176509294,57.4844360351562
"323",3,1010,0.627677806341045,57.4844360351562
"324",4,1010,0.390367637369877,57.4844360351562
"325",5,1010,0.617073332010844,57.4844360351562
"326",6,1010,0.893833020205017,57.4844360351562
"327",7,1010,0.194723906275602,57.4844360351562
"328",8,1010,0.605551160337553,57.4844360351562
"329",9,1010,0.416799869515577,57.4844360351562
"330",10,1010,0.619850677843998,57.4844360351562
"331",1,1010,0.617613092684858,57.4844360351562
"332",2,1010,0.931110963983051,57.4844360351562
"333",3,1010,0.628931853364514,57.4844360351562
"334",4,1010,0.388683047321893,57.4844360351562
"335",5,1010,0.619678490417173,57.4844360351562
"336",6,1010,0.894653517596227,57.4844360351562
"337",7,1010,0.190345147707304,57.4844360351562
"338",8,1010,0.604628958978073,57.4844360351562
"339",9,1010,0.414376531355539,57.4844360351562
"340",10,1010,0.620977630488815,57.4844360351562
"341",1,1010,0.620337403919742,57.4844360351562
"342",2,1010,0.929182131495228,57.4844360351562
"343",3,1010,0.626025636801002,57.4844360351562
"344",4,1010,0.382380319148936,57.4844360351562
"345",5,1010,0.616612572034179,57.4844360351562
"346",6,1010,0.894532016482438,57.4844360351562
"347",7,1010,0.191632659832122,57.4844360351562
"348",8,1010,0.607026546925886,57.4844360351562
"349",9,1010,0.408403192946127,57.4844360351562
"350",10,1010,0.615679968495668,57.4844360351562
"351",1,1010,0.619556258859987,57.4844360351562
"352",2,1010,0.930216467332213,57.4844360351562
"353",3,1010,0.631168486377062,57.4844360351562
"354",4,1010,0.391178196518224,57.4844360351562
"355",5,1010,0.622165505055463,57.4844360351562
"356",6,1010,0.892039982731711,57.4844360351562
"357",7,1010,0.191244924234921,57.4844360351562
"358",8,1010,0.602633566479493,57.4844360351562
"359",9,1010,0.416595012897678,57.4844360351562
"360",10,1010,0.619554471759046,57.4844360351562
"361",1,1010,0.62066919400033,57.4844360351562
"362",2,1010,0.930682196339434,57.4844360351562
"363",3,1010,0.625808367427742,57.4844360351562
"364",4,1010,0.382498515145516,57.4844360351562
"365",5,1010,0.614523277901823,57.4844360351562
"366",6,1010,0.895093007290202,57.4844360351562
"367",7,1010,0.190201919894075,57.4844360351562
"368",8,1010,0.602729290185817,57.4844360351562
"369",9,1010,0.408665453944105,57.4844360351562
"370",10,1010,0.620153002593821,57.4844360351562
"371",1,1010,0.619675725961858,57.4844360351562
"372",2,1010,0.930177711343631,57.4844360351562
"373",3,1010,0.620250224006903,57.4844360351562
"374",4,1010,0.383754524623917,57.4844360351562
"375",5,1010,0.621821056792726,57.4844360351562
"376",6,1010,0.893439663942765,57.4844360351562
"377",7,1010,0.191110814953022,57.4844360351562
"378",8,1010,0.610173958882446,57.4844360351562
"379",9,1010,0.412737555073321,57.4844360351562
"380",10,1010,0.611538206640599,57.4844360351562
"381",1,1010,0.615691577072752,57.4844360351562
"382",2,1010,0.93179202157398,57.4844360351562
"383",3,1010,0.629646657034021,57.4844360351562
"384",4,1010,0.386008992330071,57.4844360351562
"385",5,1010,0.619230641794506,57.4844360351562
"386",6,1010,0.894448502556611,57.4844360351562
"387",7,1010,0.188059302791505,57.4844360351562
"388",8,1010,0.602343801435249,57.4844360351562
"389",9,1010,0.416433209188886,57.4844360351562
"390",10,1010,0.620573521237289,57.4844360351562
"391",1,1010,0.615333399913446,57.4844360351562
"392",2,1010,0.93038016311497,57.4844360351562
"393",3,1010,0.627793593141586,57.4844360351562
"394",4,1010,0.381284731410426,57.4844360351562
"395",5,1010,0.620890896501698,57.4844360351562
"396",6,1010,0.898034560084422,57.4844360351562
"397",7,1010,0.197150343924009,57.4844360351562
"398",8,1010,0.599340175953079,57.4844360351562
"399",9,1010,0.413050635411865,57.4844360351562
"400",10,1010,0.618233336628118,57.4844360351562
"401",1,1010,0.621956009426551,57.4844360351562
"402",2,1010,0.932930809399478,57.4844360351562
"403",3,1010,0.623254422130602,57.4844360351562
"404",4,1010,0.387702201660268,57.4844360351562
"405",5,1010,0.615166220989733,57.4844360351562
"406",6,1010,0.894105664344855,57.4844360351562
"407",7,1010,0.189933774834437,57.4844360351562
"408",8,1010,0.603232070565777,57.4844360351562
"409",9,1010,0.408157199471598,57.4844360351562
"410",10,1010,0.626207032923574,57.4844360351562
"411",1,1010,0.624868143459916,57.4844360351562
"412",2,1010,0.933472271972386,57.4844360351562
"413",3,1010,0.63008424378044,57.4844360351562
"414",4,1010,0.380597759234017,57.4844360351562
"415",5,1010,0.615241326547583,57.4844360351562
"416",6,1010,0.8915686338762,57.4844360351562
"417",7,1010,0.191959267341136,57.4844360351562
"418",8,1010,0.602061719421133,57.4844360351562
"419",9,1010,0.409328668998834,57.4844360351562
"420",10,1010,0.614614514734251,57.4844360351562
"421",1,1060,0.631811349116873,60.3302001953125
"422",2,1060,0.9374025395411,60.3302001953125
"423",3,1060,0.643053928243453,60.3302001953125
"424",4,1060,0.40404230612309,60.3302001953125
"425",5,1060,0.639556377079482,60.3302001953125
"426",6,1060,0.903433610607293,60.3302001953125
"427",7,1060,0.215256726772712,60.3302001953125
"428",8,1060,0.626506404189539,60.3302001953125
"429",9,1060,0.433335407204629,60.3302001953125
"430",10,1060,0.631450796863142,60.3302001953125
"431",1,1060,0.632649194821598,60.3302001953125
"432",2,1060,0.93745850064818,60.3302001953125
"433",3,1060,0.641567119488133,60.3302001953125
"434",4,1060,0.406551364340595,60.3302001953125
"435",5,1060,0.631886080365355,60.3302001953125
"436",6,1060,0.900372647068191,60.3302001953125
"437",7,1060,0.21039139677379,60.3302001953125
"438",8,1060,0.618955696202532,60.3302001953125
"439",9,1060,0.431153641679957,60.3302001953125
"440",10,1060,0.63857496165044,60.3302001953125
"441",1,1060,0.635862893834,60.3302001953125
"442",2,1060,0.942302870753416,60.3302001953125
"443",3,1060,0.644389464783439,60.3302001953125
"444",4,1060,0.409149102263856,60.3302001953125
"445",5,1060,0.628241253759696,60.3302001953125
"446",6,1060,0.904523085603235,60.3302001953125
"447",7,1060,0.20996118206862,60.3302001953125
"448",8,1060,0.622751106785142,60.3302001953125
"449",9,1060,0.428446471525413,60.3302001953125
"450",10,1060,0.633687395593658,60.3302001953125
"451",1,1060,0.635107247826903,60.3302001953125
"452",2,1060,0.936101128554316,60.3302001953125
"453",3,1060,0.642300347493974,60.3302001953125
"454",4,1060,0.407395711624088,60.3302001953125
"455",5,1060,0.637156165418266,60.3302001953125
"456",6,1060,0.899065889285938,60.3302001953125
"457",7,1060,0.214647570204516,60.3302001953125
"458",8,1060,0.625239787414699,60.3302001953125
"459",9,1060,0.432615904398423,60.3302001953125
"460",10,1060,0.637977373585849,60.3302001953125
