"","dst","lambda","cr","ol"
"209",9,10,0.777167947310648,0.56915283203125
"210",10,10,0.271058315334773,0.56915283203125
"211",1,1010,0.230376922463941,57.4844360351562
"212",2,1010,0.99187690385066,57.4844360351562
"213",3,1010,0.850452858203415,57.4844360351562
"214",4,1010,0.335382093833231,57.4844360351562
"215",5,1010,0.287052165942693,57.4844360351562
"216",6,1010,0.989276229535751,57.4844360351562
"217",7,1010,0.943655071043606,57.4844360351562
"218",8,1010,0.873863601343647,57.4844360351562
"219",9,1010,0.768563275289733,57.4844360351562
"220",10,1010,0.271701873256277,57.4844360351562
"221",1,1010,0.231019050259416,57.4844360351562
"222",2,1010,0.991310352015425,57.4844360351562
"223",3,1010,0.85157611746285,57.4844360351562
"224",4,1010,0.336916335752431,57.4844360351562
"225",5,1010,0.291840712893344,57.4844360351562
"226",6,1010,0.989340596523084,57.4844360351562
"227",7,1010,0.932982288176161,57.4844360351562
"228",8,1010,0.875709896657667,57.4844360351562
"229",9,1010,0.758721934369603,57.4844360351562
"230",10,1010,0.272350503256365,57.4844360351562
"231",1,1010,0.22807713673518,57.4844360351562
"232",2,1010,0.991593144579722,57.4844360351562
"233",3,1010,0.851139285397642,57.4844360351562
"234",4,1010,0.337635589729507,57.4844360351562
"235",5,1010,0.289585568403067,57.4844360351562
"236",6,1010,0.989131886477462,57.4844360351562
"237",7,1010,0.946666666666667,57.4844360351562
"238",8,1010,0.876364754728587,57.4844360351562
"239",9,1010,0.767293777134588,57.4844360351562
"240",10,1010,0.268785784797631,57.4844360351562
"241",1,1010,0.230469990473166,57.4844360351562
"242",2,1010,0.991463557458326,57.4844360351562
"243",3,1010,0.848054336220192,57.4844360351562
"244",4,1010,0.336008780956301,57.4844360351562
"245",5,1010,0.285539167226858,57.4844360351562
"246",6,1010,0.989726199869059,57.4844360351562
"247",7,1010,0.955917585050311,57.4844360351562
"248",8,1010,0.87604659066333,57.4844360351562
"249",9,1010,0.763435225618632,57.4844360351562
"250",10,1010,0.275334229886876,57.4844360351562
"251",1,1010,0.230545599362804,57.4844360351562
"252",2,1010,0.991567660416152,57.4844360351562
"253",3,1010,0.851436185963873,57.4844360351562
"254",4,1010,0.332231177240477,57.4844360351562
"255",5,1010,0.286646506445965,57.4844360351562
"256",6,1010,0.989324081988369,57.4844360351562
"257",7,1010,0.945264159923846,57.4844360351562
"258",8,1010,0.877667978067594,57.4844360351562
"259",9,1010,0.763830400922988,57.4844360351562
"260",10,1010,0.266327058542604,57.4844360351562
"261",1,1010,0.227117023819007,57.4844360351562
"262",2,1010,0.991258855301439,57.4844360351562
"263",3,1010,0.852022274325909,57.4844360351562
"264",4,1010,0.327258869179601,57.4844360351562
"265",5,1010,0.285714285714286,57.4844360351562
"266",6,1010,0.989777309307501,57.4844360351562
"267",7,1010,0.946034725480995,57.4844360351562
"268",8,1010,0.877633837989699,57.4844360351562
"269",9,1010,0.765577616295703,57.4844360351562
"270",10,1010,0.267242403834726,57.4844360351562
"271",1,1010,0.224799145130011,57.4844360351562
"272",2,1010,0.991473180101491,57.4844360351562
"273",3,1010,0.848697039531998,57.4844360351562
"274",4,1010,0.33602606747675,57.4844360351562
"275",5,1010,0.279289327968769,57.4844360351562
"276",6,1010,0.989337267590994,57.4844360351562
"277",7,1010,0.945508100147275,57.4844360351562
"278",8,1010,0.874479953157262,57.4844360351562
"279",9,1010,0.758616701364793,57.4844360351562
"280",10,1010,0.273306174109085,57.4844360351562
"281",1,1010,0.228671663211609,57.4844360351562
"282",2,1010,0.991427646487536,57.4844360351562
"283",3,1010,0.848852304242639,57.4844360351562
"284",4,1010,0.338986528072215,57.4844360351562
"285",5,1010,0.284045301013312,57.4844360351562
"286",6,1010,0.988116726835138,57.4844360351562
"287",7,1010,0.928789420142421,57.4844360351562
"288",8,1010,0.876270559970431,57.4844360351562
"289",9,1010,0.75661252900232,57.4844360351562
"290",10,1010,0.271723209690828,57.4844360351562
"291",1,1010,0.227035636074059,57.4844360351562
"292",2,1010,0.991577721715506,57.4844360351562
"293",3,1010,0.84956799621257,57.4844360351562
"294",4,1010,0.336990810588397,57.4844360351562
"295",5,1010,0.285985072858666,57.4844360351562
"296",6,1010,0.989322175732218,57.4844360351562
"297",7,1010,0.941708542713568,57.4844360351562
"298",8,1010,0.874923039034602,57.4844360351562
"299",9,1010,0.760298751312872,57.4844360351562
"300",10,1010,0.266648146678308,57.4844360351562
"301",1,1010,0.226498097653773,57.4844360351562
"302",2,1010,0.991887408636152,57.4844360351562
"303",3,1010,0.850415594403526,57.4844360351562
"304",4,1010,0.327242524916944,57.4844360351562
"305",5,1010,0.280036383769675,57.4844360351562
"306",6,1010,0.989058494328178,57.4844360351562
"307",7,1010,0.952732644017725,57.4844360351562
"308",8,1010,0.877777777777778,57.4844360351562
"309",9,1010,0.760956870962109,57.4844360351562
"310",10,1010,0.265739240406276,57.4844360351562
"311",1,1010,0.232239680215301,57.4844360351562
"312",2,1010,0.99138961038961,57.4844360351562
"313",3,1010,0.852671279660262,57.4844360351562
"314",4,1010,0.331400566024712,57.4844360351562
"315",5,1010,0.287477328286413,57.4844360351562
"316",6,1010,0.989017088266954,57.4844360351562
"317",7,1010,0.939971414959505,57.4844360351562
"318",8,1010,0.874291027429103,57.4844360351562
"319",9,1010,0.762952243125904,57.4844360351562
"320",10,1010,0.275118670886076,57.4844360351562
"321",1,1010,0.22592987023232,57.4844360351562
"322",2,1010,0.991734149586062,57.4844360351562
"323",3,1010,0.847631508519433,57.4844360351562
"324",4,1010,0.329636475662354,57.4844360351562
"325",5,1010,0.280709411204571,57.4844360351562
"326",6,1010,0.989485297805119,57.4844360351562
"327",7,1010,0.940231039678553,57.4844360351562
"328",8,1010,0.875314552261708,57.4844360351562
"329",9,1010,0.765704883351942,57.4844360351562
"330",10,1010,0.275256511444357,57.4844360351562
"331",1,1010,0.227612089272168,57.4844360351562
"332",2,1010,0.992626190630467,57.4844360351562
"333",3,1010,0.850238095238095,57.4844360351562
"334",4,1010,0.333657452423948,57.4844360351562
"335",5,1010,0.284895978360317,57.4844360351562
"336",6,1010,0.990606162089752,57.4844360351562
"337",7,1010,0.943237907206318,57.4844360351562
"338",8,1010,0.881037788360443,57.4844360351562
"339",9,1010,0.759724186704385,57.4844360351562
"340",10,1010,0.271233529131608,57.4844360351562
"341",1,1010,0.227140039447732,57.4844360351562
"342",2,1010,0.990818160506369,57.4844360351562
"343",3,1010,0.851755833136931,57.4844360351562
"344",4,1010,0.333791964777105,57.4844360351562
"345",5,1010,0.290283145358467,57.4844360351562
"346",6,1010,0.988808349273466,57.4844360351562
"347",7,1010,0.942077549066539,57.4844360351562
"348",8,1010,0.8766901364571,57.4844360351562
"349",9,1010,0.763843367258927,57.4844360351562
"350",10,1010,0.269688699022982,57.4844360351562
"351",1,1010,0.23410877459,57.4844360351562
"352",2,1010,0.990928934607291,57.4844360351562
"353",3,1010,0.850714663843303,57.4844360351562
"354",4,1010,0.340787119856887,57.4844360351562
"355",5,1010,0.287357239837074,57.4844360351562
"356",6,1010,0.989368826385401,57.4844360351562
"357",7,1010,0.940347581023955,57.4844360351562
"358",8,1010,0.874481392036659,57.4844360351562
"359",9,1010,0.763915216267448,57.4844360351562
"360",10,1010,0.269123727735369,57.4844360351562
"361",1,1010,0.227817745803357,57.4844360351562
"362",2,1010,0.991309453904874,57.4844360351562
"363",3,1010,0.851746069136093,57.4844360351562
"364",4,1010,0.330480038348285,57.4844360351562
"365",5,1010,0.287572831032006,57.4844360351562
"366",6,1010,0.988826349105607,57.4844360351562
"367",7,1010,0.936284046692607,57.4844360351562
"368",8,1010,0.877317896170634,57.4844360351562
"369",9,1010,0.759755605510404,57.4844360351562
"370",10,1010,0.268863038801689,57.4844360351562
"371",1,1010,0.22682099381361,57.4844360351562
"372",2,1010,0.991759881653733,57.4844360351562
"373",3,1010,0.848044759240521,57.4844360351562
"374",4,1010,0.338294257560313,57.4844360351562
"375",5,1010,0.284894307655768,57.4844360351562
"376",6,1010,0.989427829437882,57.4844360351562
"377",7,1010,0.940740740740741,57.4844360351562
"378",8,1010,0.877435787277135,57.4844360351562
"379",9,1010,0.762310882645014,57.4844360351562
"380",10,1010,0.268221343873518,57.4844360351562
"381",1,1010,0.230852688258459,57.4844360351562
"382",2,1010,0.991692600164065,57.4844360351562
"383",3,1010,0.846317217781186,57.4844360351562
"384",4,1010,0.329711888881249,57.4844360351562
"385",5,1010,0.281820702769084,57.4844360351562
"386",6,1010,0.988547327709799,57.4844360351562
"387",7,1010,0.935530085959885,57.4844360351562
"388",8,1010,0.877802794312679,57.4844360351562
"389",9,1010,0.760793871866295,57.4844360351562
"390",10,1010,0.267564890033683,57.4844360351562
"391",1,1010,0.228057696107489,57.4844360351562
"392",2,1010,0.991459083957594,57.4844360351562
"393",3,1010,0.852787125091441,57.4844360351562
"394",4,1010,0.333009776052139,57.4844360351562
"395",5,1010,0.286735378904553,57.4844360351562
"396",6,1010,0.988937905220239,57.4844360351562
"397",7,1010,0.944055944055944,57.4844360351562
"398",8,1010,0.875517380885694,57.4844360351562
"399",9,1010,0.762980464473002,57.4844360351562
"400",10,1010,0.270682667090519,57.4844360351562
"401",1,1010,0.227240257163267,57.4844360351562
"402",2,1010,0.991874358074288,57.4844360351562
"403",3,1010,0.850226029026886,57.4844360351562
"404",4,1010,0.335897086849986,57.4844360351562
"405",5,1010,0.289639245042606,57.4844360351562
"406",6,1010,0.989257779717345,57.4844360351562
"407",7,1010,0.943831012962074,57.4844360351562
"408",8,1010,0.87925944150572,57.4844360351562
"409",9,1010,0.75945835996978,57.4844360351562
"410",10,1010,0.268419600268065,57.4844360351562
"411",1,1010,0.22602138525375,57.4844360351562
"412",2,1010,0.992056671094096,57.4844360351562
"413",3,1010,0.848988033682966,57.4844360351562
"414",4,1010,0.336345587731909,57.4844360351562
"415",5,1010,0.284441069501619,57.4844360351562
"416",6,1010,0.989219050807734,57.4844360351562
"417",7,1010,0.940191387559809,57.4844360351562
"418",8,1010,0.875532900834106,57.4844360351562
